,Name,Comment,Time,Likes,Reply Count
0,Name,Comment,Time,Likes,Reply Count
1,Metrópoles,"ASSISTA TAMBÉM: Leo Dias entrevista Eduardo Alves, personal traído por esposa com morador de rua - https://youtu.be/7Jf9vke5-Gc",2022-03-24T15:23:51Z,16,6
2,Luiza Neves,"*Que o desempregado consiga um emprego, que o doente seja curado e quem ler essa mensagem seja abençoado.*",2022-03-24T15:31:08Z,0,
3,Luiza Neves,"*Que o desempregado consiga um emprego, que o doente seja curado e quem ler essa mensagem seja abençoado.*",2022-03-24T15:31:04Z,0,
4,Luiza Neves,"*Que o desempregado consiga um emprego, que o doente seja curado e quem ler essa mensagem seja abençoado.*",2022-03-24T15:30:58Z,0,
5,Luiza Neves,"*Que o desempregado consiga um emprego, que o doente seja curado e quem ler essa mensagem seja abençoado.*",2022-03-24T15:30:54Z,0,
6,Maycon Duanees,Olha a galera colocando gasolina onde não deve 😂😂😂😂😂😂,2022-03-24T15:29:52Z,0,
7,Lá Família Alpha,https://youtu.be/jzaBumCGVO0,2022-03-24T15:24:18Z,0,
8,ivany santos,"ACREDITO TOTALMENTE NA VERSÃO DELE.  INFELIZMENTE ESTE HOMEM  FOI ""USADO PRA ESTE CASAL 'DO MAL '  FAZER ""HISTÓRIA"" NA MÍDIA.  NÃO  TENHO DÚVIDA ALGUMA QUE O CASAL DO MAL (  TERIAM UM ACORDO TIPO ' FANTASIA SEXUAL '  COM UM MORADOR DE RUA... SIMPLESMENTE ISSO!  ESTE ""Marido "" E ESTA ""mulher  SÃO  PSICOPATAS E DOENTES PERVERTIDOS. PRONTO FALEI 🙄🤦‍♀️😡 Obs: ESTE HOMEM É  COMPLETAMENTE LÚCIDO E  TRANSPARENTE ( Até demais né kk)",2022-03-24T15:34:52Z,0,0
9,Rodrigo Gomes,#FechamentocomBolsonaro2022,2022-03-24T15:34:49Z,0,0
10,Rafa Costa,"Tadinho ne, pena que ainda esta falando!!! Eu arrancava todos os dentes!!! E so o Brasil mesmo, uma palhaçada!!!!! Próximo Deputado!!!! O cara come a mulher do outro e falando de Deus!!! Kkkkkkkkkkkk",2022-03-24T15:34:47Z,0,0
11,Ronaldo 777,Pra mim não passa de um vagabundo,2022-03-24T15:34:46Z,0,0
12,donato ferreira,O áudio está péssimo!,2022-03-24T15:34:46Z,0,0
13,Wilians Souza,"""Ela tem uma voz doce, envolvente, uma pele macia e quente""😂",2022-03-24T15:34:44Z,0,0
14,Aparecida Oliveira,Que cara eloquente,2022-03-24T15:34:43Z,0,0
15,Rita de Cássia Liberato,"Rindo aqui do desespero do que está sentado à direita do Givaldo durante o ""minuto de silêncio pelos ucranianos""",2022-03-24T15:34:43Z,0,0
16,Beatriz Ramos,O mendigo fala melhor que eu kkkkkkk,2022-03-24T15:34:42Z,0,0
17,Marcia Aparecida,Chato,2022-03-24T15:34:42Z,0,0
18,Fabiano Ferreira,Parabéns a ele. Votará no Bolsonaro,2022-03-24T15:34:42Z,0,0
19,Ignore-me,"Tipos de pessoas que não merecem viver: Criminosos hediondos, viciados em droga e talaricos !",2022-03-24T15:34:42Z,0,0
20,Simone Prudencio,Senhor mendigo te desejo sorte aproveite essa oportunidade ganhe o óculos Deus te abençoe emprego e casa pra morar,2022-03-24T15:34:41Z,0,0
21,Odair Bastos,"O Givaldo, por ser um simples morador de rua, fala muito bem, boa oratória. Apresentou a sua versão. Agora, seria interessante a (METRÓPOLES) entrevistar a ""mulher que o seduziu"".",2022-03-24T15:34:38Z,0,0
22,Root Player,Hipocrisia de comentários solidários,2022-03-24T15:34:38Z,0,0
